Energy,1ps,10ps,30ps,100ps,280ps
2.4,3190.1,1576.83,1504.83,506.483,65.4833
2.42,3376.5,1890.28,1481.28,457.083,161.133
2.44,3566.93,2064.95,1522.3,574.45,286.55
2.46,3484.4,2225.47,1576.77,633.75,417
2.48,3774.67,2610.57,1700.77,863.767,458.117
2.5,4032,2699.03,1543.18,685.783,395.133
2.52,3810.73,2879.07,1516.62,708.55,538.45
2.54,3830.2,2510.22,1511.42,840.833,564.883
2.56,3862.47,2222.95,1416.15,908.733,529.083
2.58,3811.1,2318.02,1473.57,790.3,313.35
2.6,3408.03,2340.3,1396.85,689.233,276.833
2.62,3213.87,2124.7,1247.3,630.933,287.633
2.64,3053.73,2023.3,1219.15,585.667,336.317
2.66,3029.33,1901.28,1095.43,535.017,321.417
2.68,2911.13,1617.5,963.95,411.9,211.1
2.7,2610.93,1425.43,878.733,341.967,207.467
2.72,2320.83,1270,692.45,356.833,181.033
2.74,2125.6,1088.94,536.043,263.538,177.123
2.76,1870.14,880.127,472.687,178.215,107.365
2.78,1522.67,633.665,375.765,136.968,86.0433
2.8,1292.23,549.88,291.03,91.7383,58.5133
2.82,1057.55,403.632,259.657,105.342,67.3767
2.84,862.597,354.165,189.38,71.015,19.81
2.86,715.713,277.382,133.672,53.2,30.795
2.88,582.353,207.865,119.23,64.08,26.925
2.9,492.34,155.67,83.72,15.9383,14.3933
2.92,388.22,126.457,83.3417,38.5717,28.6967
2.94,321.23,90.9367,24.8417,30.5517,14.3917
2.96,232.543,82.5933,70.0833,24.7833,8.04833
